Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	26906	11/08/2022	2022 General Election	214	214	7043	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1833
LEE	Lee	26906	11/08/2022	2022 General Election	215	215	5442	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1635
LEE	Lee	26906	11/08/2022	2022 General Election	216	216	6161	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1384
LEE	Lee	26906	11/08/2022	2022 General Election	217	217	5074	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1600
LEE	Lee	26906	11/08/2022	2022 General Election	218	218	3329	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1387
LEE	Lee	26906	11/08/2022	2022 General Election	219	219	3620	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1294
LEE	Lee	26906	11/08/2022	2022 General Election	220	220	2892	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1201
LEE	Lee	26906	11/08/2022	2022 General Election	221	221	4484	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1152
LEE	Lee	26906	11/08/2022	2022 General Election	222	222	7594	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	2903
LEE	Lee	26906	11/08/2022	2022 General Election	301	301	4326	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1920
LEE	Lee	26906	11/08/2022	2022 General Election	302	302	3840	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	1886
LEE	Lee	26906	11/08/2022	2022 General Election	303	303	6568	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3544
LEE	Lee	26906	11/08/2022	2022 General Election	304	304	7458	0	0	0	Representative in Congress	 District 19	140190	Byron Donalds	REP	103089553	79881	3240
