Precinct County Code	Precinct County Name	Precinct Election Number	Precinct Election Date	Precinct Election Name	Precinct Unique Precinct Identifier	Precinct Precinct Polling Location	Precinct Total Registered Voters	Precinct Total Registered Republicans	Precinct Total Registered Democrats	Precinct Total Registered All Other Parties	Contest Contest Name	Contest District	Contest Contest Code	Votes Candidate/Retention/Issue Name/WriteInsCast/OverVotes/UnderVotes	Votes Candidate Party	Votes Candidate Florida Voter Registration System ID Number	Votes DOE Assigned Candidate Number or Retention/Issue Number	Votes Vote Total
LEE	Lee	9547	11/06/2012	2012 General Election	80	POLL 080 080	2016	0	0	0	U.S. Representative	 District 19	140190	Trey Radel	REP	103063688	55790	1046
LEE	Lee	9547	11/06/2012	2012 General Election	80	POLL 080 080	2016	0	0	0	U.S. Representative	 District 19	140190	Jim Roach	DEM	111406403	55110	429
LEE	Lee	9547	11/06/2012	2012 General Election	80	POLL 080 080	2016	0	0	0	U.S. Representative	 District 19	140190	Brandon M. Smith	NPA	103110132	55929	22
LEE	Lee	9547	11/06/2012	2012 General Election	80	POLL 080 080	2016	0	0	0	U.S. Representative	 District 19	140190	OverVotes	 	0	901	1
LEE	Lee	9547	11/06/2012	2012 General Election	80	POLL 080 080	2016	0	0	0	U.S. Representative	 District 19	140190	UnderVotes	 	0	902	89
UNI	Union	10282	11/08/2016	2016 General Election	1A & 1B	1A & 1B	1138	0	0	7062	State Representative	 District 19	260190	Bobby Payne	REP	107495730	64619	664
UNI	Union	10282	11/08/2016	2016 General Election	1A & 1B	1A & 1B	1138	0	0	7062	State Representative	 District 19	260190	"Hubert ""Joe"" Snodgrass"	DEM	110110434	64984	200
UNI	Union	10282	11/08/2016	2016 General Election	1A & 1B	1A & 1B	1138	0	0	7062	State Representative	 District 19	260190	WriteinVotes	 	0	900	5
UNI	Union	10282	11/08/2016	2016 General Election	1A & 1B	1A & 1B	1138	0	0	7062	State Representative	 District 19	260190	OverVotes	 	0	901	0
UNI	Union	10282	11/08/2016	2016 General Election	1A & 1B	1A & 1B	1138	0	0	7062	State Representative	 District 19	260190	UnderVotes	 	0	902	51
UNI	Union	10282	11/08/2016	2016 General Election	2A & 2B	2A & 2B	1090	0	0	7062	State Representative	 District 19	260190	Bobby Payne	REP	107495730	64619	643
UNI	Union	10282	11/08/2016	2016 General Election	2A & 2B	2A & 2B	1090	0	0	7062	State Representative	 District 19	260190	"Hubert ""Joe"" Snodgrass"	DEM	110110434	64984	173
UNI	Union	10282	11/08/2016	2016 General Election	2A & 2B	2A & 2B	1090	0	0	7062	State Representative	 District 19	260190	WriteinVotes	 	0	900	1
UNI	Union	10282	11/08/2016	2016 General Election	2A & 2B	2A & 2B	1090	0	0	7062	State Representative	 District 19	260190	OverVotes	 	0	901	0
UNI	Union	10282	11/08/2016	2016 General Election	2A & 2B	2A & 2B	1090	0	0	7062	State Representative	 District 19	260190	UnderVotes	 	0	902	62
UNI	Union	10282	11/08/2016	2016 General Election	3A & 3B	3A & 3B	1637	0	0	7062	State Representative	 District 19	260190	Bobby Payne	REP	107495730	64619	964
UNI	Union	10282	11/08/2016	2016 General Election	3A & 3B	3A & 3B	1637	0	0	7062	State Representative	 District 19	260190	"Hubert ""Joe"" Snodgrass"	DEM	110110434	64984	207
UNI	Union	10282	11/08/2016	2016 General Election	3A & 3B	3A & 3B	1637	0	0	7062	State Representative	 District 19	260190	WriteinVotes	 	0	900	0
UNI	Union	10282	11/08/2016	2016 General Election	3A & 3B	3A & 3B	1637	0	0	7062	State Representative	 District 19	260190	OverVotes	 	0	901	0
UNI	Union	10282	11/08/2016	2016 General Election	3A & 3B	3A & 3B	1637	0	0	7062	State Representative	 District 19	260190	UnderVotes	 	0	902	104
UNI	Union	10282	11/08/2016	2016 General Election	3C	3C	338	0	0	7062	State Representative	 District 19	260190	Bobby Payne	REP	107495730	64619	206
UNI	Union	10282	11/08/2016	2016 General Election	3C	3C	338	0	0	7062	State Representative	 District 19	260190	"Hubert ""Joe"" Snodgrass"	DEM	110110434	64984	46
